timestamp,utilization.gpu,memory.used,memory.total,temperature.gpu,power.draw,clocks.current.sm,clocks.current.memory,pstate,error
2026/08/25 00:19:14.250, 0, 2639, 16380, 32, 4.14, 210, 405, P8,
2026/08/25 00:19:15.306, 0, 2746, 16380, 33, 12.60, 2610, 8751, P2,
2026/08/25 00:19:16.378, 0, 13404, 16380, 34, 28.05, 2775, 8751, P2,
2026/08/25 00:19:17.472, 0, 13404, 16380, 34, 30.01, 2775, 8751, P2,
2026/08/25 00:19:18.569, 26, 13404, 16380, 33, 27.48, 2610, 8751, P2,
2026/08/25 00:19:19.628, 29, 13404, 16380, 33, 26.64, 2610, 8751, P2,
2026/08/25 00:19:20.683, 31, 13404, 16380, 34, 26.81, 2610, 8751, P2,
2026/08/25 00:19:21.772, 19, 14000, 16380, 33, 24.95, 1950, 8751, P2,
2026/08/25 00:19:22.877, 5, 14098, 16380, 34, 36.29, 2775, 8751, P2,
2026/08/25 00:19:23.973, 42, 13792, 16380, 37, 37.18, 2775, 8751, P2,
2026/08/25 00:19:25.037, 41, 13792, 16380, 38, 62.81, 2775, 8751, P2,
2026/08/25 00:19:26.137, 42, 13792, 16380, 38, 62.88, 2775, 8751, P2,
2026/08/25 00:19:27.204, 44, 13792, 16380, 39, 62.87, 2775, 8751, P2,
2026/08/25 00:19:28.264, 44, 13792, 16380, 40, 63.10, 2775, 8751, P2,
2026/08/25 00:19:29.351, 44, 13792, 16380, 39, 63.17, 2775, 8751, P2,
2026/08/25 00:19:30.399, 41, 14122, 16380, 39, 63.20, 2775, 8751, P2,
2026/08/25 00:19:31.496, 5, 14184, 16380, 36, 51.81, 2760, 8751, P2,
2026/08/25 00:19:32.607, 8, 14186, 16380, 37, 45.41, 2775, 8751, P2,
2026/08/25 00:19:33.723, 5, 14190, 16380, 36, 31.34, 2775, 8751, P2,
2026/08/25 00:19:34.833, 10, 14192, 16380, 36, 31.28, 2760, 8751, P2,
2026/08/25 00:19:35.931, 5, 14192, 16380, 37, 45.83, 2760, 8751, P2,
2026/08/25 00:19:37.039, 5, 14192, 16380, 37, 46.33, 2775, 8751, P2,
2026/08/25 00:19:38.116, 90, 14194, 16380, 46, 41.06, 2775, 8751, P2,
2026/08/25 00:19:39.209, 5, 14194, 16380, 37, 46.34, 2775, 8751, P2,
2026/08/25 00:19:40.316, 5, 14194, 16380, 37, 44.29, 2775, 8751, P2,
2026/08/25 00:19:41.425, 5, 14196, 16380, 37, 45.75, 2355, 8751, P2,
2026/08/25 00:19:42.521, 99, 14196, 16380, 42, 31.90, 2580, 8751, P2,
2026/08/25 00:19:43.608, 5, 14196, 16380, 37, 37.41, 2775, 8751, P2,
2026/08/25 00:19:44.693, 5, 14198, 16380, 37, 46.75, 2760, 8751, P2,
2026/08/25 00:19:45.794, 61, 14198, 16380, 51, 48.15, 2760, 8751, P2,
2026/08/25 00:19:46.890, 42, 14200, 16380, 51, 47.00, 2760, 8751, P2,
2026/08/25 00:19:47.993, 5, 14200, 16380, 38, 35.98, 2760, 8751, P2,
2026/08/25 00:19:49.099, 5, 14200, 16380, 38, 47.54, 2760, 8751, P2,
2026/08/25 00:19:50.170, 6, 14202, 16380, 42, 47.48, 2760, 8751, P2,
2026/08/25 00:19:51.251, 5, 14202, 16380, 38, 32.09, 2760, 8751, P2,
2026/08/25 00:19:52.340, 6, 14202, 16380, 37, 26.01, 1815, 8751, P2,
2026/08/25 00:19:53.446, 5, 14204, 16380, 38, 38.01, 2760, 8751, P2,
2026/08/25 00:19:54.539, 40, 14210, 16380, 41, 38.52, 2760, 8751, P2,
2026/08/25 00:19:55.580, 40, 14210, 16380, 41, 64.51, 2760, 8751, P2,
2026/08/25 00:19:56.624, 45, 14210, 16380, 42, 64.55, 2760, 8751, P2,
2026/08/25 00:19:57.661, 45, 14210, 16380, 42, 65.08, 2760, 8751, P2,
2026/08/25 00:19:58.701, 42, 14210, 16380, 42, 65.22, 2760, 8751, P2,
2026/08/25 00:19:59.757, 45, 14210, 16380, 43, 65.01, 2760, 8751, P2,
2026/08/25 00:20:00.845, 46, 14210, 16380, 43, 64.64, 2760, 8751, P2,
2026/08/25 00:20:01.971, 5, 14448, 16380, 40, 63.20, 2760, 8751, P2,
2026/08/25 00:20:03.082, 5, 14450, 16380, 40, 31.87, 2760, 8751, P2,
2026/08/25 00:20:04.192, 6, 14450, 16380, 39, 43.03, 2160, 8751, P2,
2026/08/25 00:20:05.287, 4, 14450, 16380, 40, 34.44, 2760, 8751, P2,
2026/08/25 00:20:06.365, 5, 14452, 16380, 41, 46.29, 2760, 8751, P2,
2026/08/25 00:20:07.410, 84, 14452, 16380, 53, 40.83, 2760, 8751, P2,
2026/08/25 00:20:08.487, 5, 14452, 16380, 40, 46.88, 2760, 8751, P2,
2026/08/25 00:20:09.600, 5, 14454, 16380, 40, 46.71, 2760, 8751, P2,
2026/08/25 00:20:10.724, 79, 14454, 16380, 43, 48.24, 2760, 8751, P2,
2026/08/25 00:20:11.816, 5, 14456, 16380, 40, 41.27, 2760, 8751, P2,
2026/08/25 00:20:12.940, 5, 14456, 16380, 41, 37.42, 2760, 8751, P2,
2026/08/25 00:20:14.059, 6, 14456, 16380, 41, 47.49, 2760, 8751, P2,
2026/08/25 00:20:15.136, 18, 14458, 16380, 42, 47.38, 2760, 8751, P2,
2026/08/25 00:20:16.185, 10, 14458, 16380, 41, 33.07, 2760, 8751, P2,
2026/08/25 00:20:17.257, 5, 14458, 16380, 41, 47.63, 2760, 8751, P2,
2026/08/25 00:20:18.370, 5, 14460, 16380, 41, 47.72, 2760, 8751, P2,
2026/08/25 00:20:19.476, 5, 14460, 16380, 42, 48.10, 2760, 8751, P2,
2026/08/25 00:20:20.536, 5, 14462, 16380, 41, 32.43, 2760, 8751, P2,
2026/08/25 00:20:21.605, 5, 14462, 16380, 41, 47.95, 2760, 8751, P2,
2026/08/25 00:20:22.714, 6, 14462, 16380, 42, 48.14, 2760, 8751, P2,
2026/08/25 00:20:23.805, 5, 14464, 16380, 46, 32.32, 2760, 8751, P2,
2026/08/25 00:20:24.877, 18, 14464, 16380, 53, 33.77, 2760, 8751, P2,
2026/08/25 00:20:25.965, 5, 14464, 16380, 42, 48.41, 2760, 8751, P2,
2026/08/25 00:20:27.055, 5, 14466, 16380, 42, 48.14, 2505, 8751, P2,
2026/08/25 00:20:28.118, 93, 14466, 16380, 46, 28.65, 1710, 8751, P2,
2026/08/25 00:20:29.157, 5, 14466, 16380, 42, 41.24, 2760, 8751, P2,
2026/08/25 00:20:30.211, 5, 14468, 16380, 42, 48.83, 2760, 8751, P2,
2026/08/25 00:20:31.304, 93, 14468, 16380, 56, 45.93, 2745, 8751, P2,
2026/08/25 00:20:32.395, 85, 14470, 16380, 55, 41.92, 2745, 8751, P2,
2026/08/25 00:20:33.489, 5, 14470, 16380, 43, 49.33, 2760, 8751, P2,
2026/08/25 00:20:34.602, 10, 14470, 16380, 42, 49.37, 2760, 8751, P2,
2026/08/25 00:20:35.683, 98, 14472, 16380, 48, 47.56, 2745, 8751, P2,
2026/08/25 00:20:36.747, 5, 14472, 16380, 42, 46.21, 2760, 8751, P2,
2026/08/25 00:20:37.860, 6, 14472, 16380, 42, 45.46, 2760, 8751, P2,
2026/08/25 00:20:38.972, 5, 14474, 16380, 43, 49.73, 2760, 8751, P2,
2026/08/25 00:20:40.082, 99, 14474, 16380, 47, 48.53, 2745, 8751, P2,
2026/08/25 00:20:41.188, 7, 14476, 16380, 43, 46.27, 2760, 8751, P2,
2026/08/25 00:20:42.265, 5, 14476, 16380, 43, 49.92, 2760, 8751, P2,
2026/08/25 00:20:43.375, 5, 14476, 16380, 43, 50.36, 2760, 8751, P2,
2026/08/25 00:20:44.489, 16, 14478, 16380, 44, 50.43, 2760, 8751, P2,
2026/08/25 00:20:45.587, 5, 14478, 16380, 43, 35.61, 2760, 8751, P2,
2026/08/25 00:20:46.662, 12, 14478, 16380, 43, 50.27, 2760, 8751, P2,
2026/08/25 00:20:47.754, 5, 14480, 16380, 44, 50.69, 2760, 8751, P2,
2026/08/25 00:20:48.863, 10, 14480, 16380, 44, 50.80, 2760, 8751, P2,
2026/08/25 00:20:49.956, 5, 14482, 16380, 43, 33.71, 2760, 8751, P2,
2026/08/25 00:20:51.036, 12, 14482, 16380, 43, 50.82, 2760, 8751, P2,
2026/08/25 00:20:52.126, 5, 14482, 16380, 44, 51.21, 2760, 8751, P2,
2026/08/25 00:20:53.220, 10, 14484, 16380, 43, 33.58, 2760, 8751, P2,
2026/08/25 00:20:54.290, 5, 14484, 16380, 44, 51.23, 2760, 8751, P2,
2026/08/25 00:20:55.370, 5, 14484, 16380, 44, 51.57, 2760, 8751, P2,
2026/08/25 00:20:56.466, 8, 14486, 16380, 44, 50.57, 2760, 8751, P2,
2026/08/25 00:20:57.525, 5, 14486, 16380, 44, 33.99, 2760, 8751, P2,
2026/08/25 00:20:58.617, 8, 14486, 16380, 44, 51.73, 2760, 8751, P2,
2026/08/25 00:20:59.694, 5, 14488, 16380, 45, 51.55, 2760, 8751, P2,
2026/08/25 00:21:00.736, 9, 14488, 16380, 44, 33.63, 2760, 8751, P2,
2026/08/25 00:21:01.779, 5, 14488, 16380, 44, 52.26, 2760, 8751, P2,
2026/08/25 00:21:02.818, 11, 14490, 16380, 45, 53.69, 2760, 8751, P2,
2026/08/25 00:21:03.880, 5, 14490, 16380, 45, 52.15, 2760, 8751, P2,
2026/08/25 00:21:04.966, 5, 14490, 16380, 44, 34.02, 2760, 8751, P2,
2026/08/25 00:21:06.077, 5, 14492, 16380, 45, 51.88, 2760, 8751, P2,
2026/08/25 00:21:07.150, 5, 14492, 16380, 45, 52.66, 2760, 8751, P2,
2026/08/25 00:21:08.247, 5, 14494, 16380, 44, 34.17, 2760, 8751, P2,
2026/08/25 00:21:09.357, 5, 14494, 16380, 45, 34.22, 2760, 8751, P2,
2026/08/25 00:21:10.452, 5, 14494, 16380, 46, 52.25, 2760, 8751, P2,
2026/08/25 00:21:11.567, 5, 14496, 16380, 46, 52.96, 2760, 8751, P2,
2026/08/25 00:21:12.630, 5, 14496, 16380, 45, 34.33, 2760, 8751, P2,
2026/08/25 00:21:13.695, 11, 14496, 16380, 45, 52.65, 2760, 8751, P2,
2026/08/25 00:21:14.795, 5, 14498, 16380, 46, 53.28, 2760, 8751, P2,
2026/08/25 00:21:15.905, 5, 14498, 16380, 46, 53.38, 2760, 8751, P2,
2026/08/25 00:21:17.005, 5, 14500, 16380, 46, 34.59, 2760, 8751, P2,
2026/08/25 00:21:18.131, 13, 14500, 16380, 46, 53.15, 2760, 8751, P2,
2026/08/25 00:21:19.222, 5, 14500, 16380, 46, 53.83, 2760, 8751, P2,
2026/08/25 00:21:20.348, 5, 14502, 16380, 46, 55.11, 2760, 8751, P2,
2026/08/25 00:21:21.456, 5, 14502, 16380, 46, 34.78, 2760, 8751, P2,
2026/08/25 00:21:22.549, 5, 14502, 16380, 46, 53.24, 2760, 8751, P2,
2026/08/25 00:21:23.657, 5, 14504, 16380, 47, 56.04, 2760, 8751, P2,
2026/08/25 00:21:24.769, 5, 14504, 16380, 46, 34.84, 2760, 8751, P2,
2026/08/25 00:21:25.861, 5, 14504, 16380, 46, 34.95, 2760, 8751, P2,
2026/08/25 00:21:26.968, 7, 14506, 16380, 46, 53.71, 2760, 8751, P2,
2026/08/25 00:21:28.059, 5, 14506, 16380, 47, 54.55, 2760, 8751, P2,
2026/08/25 00:21:29.119, 5, 14508, 16380, 47, 35.10, 2760, 8751, P2,
2026/08/25 00:21:30.210, 7, 14508, 16380, 47, 54.78, 2760, 8751, P2,
2026/08/25 00:21:31.305, 5, 14508, 16380, 47, 55.01, 2760, 8751, P2,
2026/08/25 00:21:32.419, 5, 14510, 16380, 47, 54.95, 2745, 8751, P2,
2026/08/25 00:21:33.527, 5, 14510, 16380, 46, 35.15, 2745, 8751, P2,
2026/08/25 00:21:34.627, 10, 14510, 16380, 48, 54.80, 2760, 8751, P2,
2026/08/25 00:21:35.727, 5, 14512, 16380, 48, 55.17, 2760, 8751, P2,
2026/08/25 00:21:36.821, 5, 14512, 16380, 46, 35.25, 2760, 8751, P2,
